doc_id,source,url,title,text_path,word_count
H00000,cnn,http://web.archive.org/web/20070716092219id_/http://us.cnn.com:80/2007/US/07/13/btsc.obrien.criminallyinsane/index.html,The mentally ill -- jailed and desperate for help - CNN.com,data/master/articles_txt/H00000.txt,704
H00001,cnn,http://web.archive.org/web/20070804173413id_/http://www.cnn.com:80/2007/SHOWBIZ/Movies/07/23/potter.radcliffe.reut/index.html?iref=newssearch,Life's magic as Daniel Radcliffe turns 18 - CNN.com,data/master/articles_txt/H00001.txt,457
H00002,cnn,http://web.archive.org/web/20070817151404id_/http://us.cnn.com:80/2007/US/08/02/bridge.survivors/index.html,Driver who survived bridge collapse: 'I can't believe I'm alive' - CNN.com,data/master/articles_txt/H00002.txt,739
H00003,cnn,http://web.archive.org/web/20070827221123id_/http://www.cnn.com:80/2007/WORLD/meast/08/24/iraq.boyfolo/index.html?iref=topnews,Father of burned boy: 'Anything for Youssif' - CNN.com,data/master/articles_txt/H00003.txt,714
H00004,cnn,http://web.archive.org/web/20070830082937id_/http://www.cnn.com:80/2007/POLITICS/07/21/bush.colonoscopy/index.html?eref=rss_topstories,Doctors remove 5 polyps from Bush's colon - CNN.com,data/master/articles_txt/H00004.txt,420
H00005,cnn,http://web.archive.org/web/20070830193806id_/http://www.cnn.com:80/2007/US/law/08/24/michael.vick/index.html?eref=time_us,NFL suspends Vick indefinitely - CNN.com,data/master/articles_txt/H00005.txt,977
H00006,cnn,http://web.archive.org/web/20070902195602id_/http://www.cnn.com:80/2007/WORLD/meast/08/15/iraq.prostitution/index.html?eref=ib_world,Iraqi women: Prostituting ourselves to feed our children - CNN.com,data/master/articles_txt/H00006.txt,896
H00007,cnn,http://web.archive.org/web/20070903175945id_/http://www.cnn.com:80/2007/POLITICS/08/31/white.house.snow/index.html?iref=topnews,White House spokesman Snow stepping down - CNN.com,data/master/articles_txt/H00007.txt,527
H00008,cnn,http://web.archive.org/web/20070903180821id_/http://www.cnn.com:80/2007/POLITICS/08/21/bush.iraq.speech/index.html?iref=topnews,Bush to invoke Vietnam in arguing against Iraq pullout - CNN.com,data/master/articles_txt/H00008.txt,804
H00009,cnn,http://web.archive.org/web/20070905072114id_/http://www.cnn.com:80/2007/US/09/01/utah.mine/index.html?iref=mpstoryview,Search ends for buried Utah miners - CNN.com,data/master/articles_txt/H00009.txt,780
H00010,cnn,http://web.archive.org/web/20070905135312id_/http://www.cnn.com:80/2007/WORLD/americas/09/03/farc.rebel.death/index.html?iref=topnews,Colombian military: Key rebel and drug trafficker killed - CNN.com,data/master/articles_txt/H00010.txt,342
H00011,cnn,http://web.archive.org/web/20070908143814id_/http://www.cnn.com:80/2007/US/07/20/rocket.launcher/index.html?eref=yahoo,Rocket launcher tube found on lawn - CNN.com,data/master/articles_txt/H00011.txt,352
H00012,cnn,http://web.archive.org/web/20070910015805id_/http://www.cnn.com:80/2007/WORLD/europe/06/29/london.chronology/,London bomb scare: A chronology of attacks - CNN.com,data/master/articles_txt/H00012.txt,638
H00013,cnn,http://web.archive.org/web/20070912131145id_/http://www.cnn.com:80/2007/US/07/20/sanfrancisco.earthquake/,'Mild' quake shakes San Francisco - CNN.com,data/master/articles_txt/H00013.txt,191
H00014,cnn,http://web.archive.org/web/20070912161810id_/http://www.cnn.com:80/2007/WORLD/africa/09/07/algeria.blast/index.html?eref=rss_world,14 killed in Algeria bomb blast - CNN.com,data/master/articles_txt/H00014.txt,256
H00015,cnn,http://web.archive.org/web/20070915064318id_/http://www.cnn.com:80/2007/TECH/science/09/06/bee.disorder/index.html?eref=rss_tech,Scientists find clue in mystery of the vanishing bees - CNN.com,data/master/articles_txt/H00015.txt,624
H00016,cnn,http://web.archive.org/web/20070916034421id_/http://www.cnn.com:80/2007/POLITICS/07/20/bush.colonoscopy/,Cheney to be in charge during Bush colonoscopy - CNN.com,data/master/articles_txt/H00016.txt,241
H00017,cnn,http://web.archive.org/web/20070916124649id_/http://www.cnn.com/2007/BUSINESS/09/15/europe.markets/index.html,Spooked savers empty bank accounts - CNN.com,data/master/articles_txt/H00017.txt,278
H00018,cnn,http://web.archive.org/web/20070917002155id_/http://www.cnn.com:80/2007/SPORT/football/07/10/anderson.beckham/index.html?,Beckham: Galacticos to Galaxy - CNN.com,data/master/articles_txt/H00018.txt,506
