doc_id,source,url,title,text_path,text_chars,auto_keep,filter_reason
HP00006,cnn,http://web.archive.org/web/20110319011415id_/http://edition.cnn.com:80/2011/US/studentnews/02/09/transcript.thu/index.html,"CNN Student News Transcript: February 10, 2011",pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00006.txt,9687,True,ok
HP00018,cnn,http://web.archive.org/web/20110818054025id_/http://edition.cnn.com:80/2011/WORLD/europe/07/06/uk.phonehacking/index.html?hpt=hp_t1,Murdoch calls allegations against his paper 'deplorable',pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00018.txt,8825,True,ok
HP00026,cnn,http://web.archive.org/web/20110129093927id_/http://edition.cnn.com/2010/US/studentnews/12/15/transcript.thu/index.html,"CNN Student News Transcript: December 16, 2010",pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00026.txt,9742,True,ok
HP00028,cnn,http://web.archive.org/web/20090422024139id_/http://www.cnn.com:80/2009/US/02/27/rocky.mountain/,"Denver paper latest victim of declining readership, ad revenue - CNN.com",pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00028.txt,3947,True,ok
HP00042,cnn,http://web.archive.org/web/20150602013241id_/http://www.cnn.com/2014/05/16/opinion/schulte-daydreaming-productivity,"Opinion: For a more productive life, daydream - CNN.com",pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00042.txt,7662,True,ok
HP00053,cnn,http://web.archive.org/web/20130703061627id_/http://edition.cnn.com:80/2009/SHOWBIZ/Music/10/29/taylor.mitchell/,"Canadian folk singer died doing something she loved, mother says - CNN.com",pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00053.txt,4406,True,ok
HP00059,cnn,http://web.archive.org/web/20150103134643id_/http://edition.cnn.com/2008/HEALTH/family/06/19/ep.vaccines/index.html,Should I vaccinate my baby? - CNN.com,pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00059.txt,7609,True,ok
HP00060,cnn,http://web.archive.org/web/20150413085803id_/http://www.cnn.com/2014/12/26/showbiz/tv/feat-doctor-who-christmas-special/index.html,When 'Doctor Who' met Santa,pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00060.txt,2845,True,ok
HP00067,cnn,http://web.archive.org/web/20130727155841id_/http://www.cnn.com/2011/10/08/world/asia/afghanistan-tribal-justice,Execution video shows Afghan tribal justice still enforced,pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00067.txt,4256,True,ok
HP00069,cnn,http://web.archive.org/web/20150326110639id_/http://www.cnn.com/2014/12/10/health/ebola-fatu-family-update/,Woman who saved family from Ebola coming to U.S. - CNN.com,pipelines/cnn_dm_v3_gendered_focus/02_human_raw/articles_txt/HP00069.txt,5367,True,ok
